sep=;
seed;model_name;dataset_name;grounder;kge;rule_miner;kge_atom_embedding_size;batch_size;val_batch_size;test_batch_size;facts_file;train_file;valid_file;test_file;domain_file;rules_file;num_negatives;valid_negatives;test_negatives;ragged;format;engine_num_negatives;engine_num_adaptive_constants;constant_embedding_size;dropout_rate_embedder;kge_regularization;learning_rate;epochs;num_rules;loss;weight_loss;cdcr_use_positional_embeddings;cdcr_num_formulas;valid_frequency;resnet;reasoner_depth;reasoner_regularization_factor;reasoner_formula_hidden_embedding_size;reasoner_dropout_rate;reasoner_atom_embedding_size;signed;temperature;aggregation_type;filter_num_heads;filter_activity_regularization;keys_signature;run_signature;seed_run_i;train_loss;train_concept_loss;train_task_loss;train_concept_mrr;train_concept_hits@1@1;train_concept_hits@3@3;train_task_mrr;train_task_hits@1@1;train_task_hits@3@3;val_loss;val_concept_loss;val_task_loss;val_concept_mrr;val_concept_hits@1@1;val_concept_hits@3@3;val_task_mrr;val_task_hits@1@1;val_task_hits@3@3;test_loss;test_concept_loss;test_task_loss;test_concept_mrr;test_concept_hits@1@1;test_concept_hits@3@3;test_task_mrr;test_task_hits@1@1;test_task_hits@3@3;time
[0, 1, 2, 3, 4];dcr;countries_s1;backward_3;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-dcr-None-1-100;4;[0.175, 0.252];[0.151, 0.246];[0.158, 0.243];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.358, 0.015];[0.327, 0.015];[0.346, 0.015];[0.871, 0.031];[0.844, 0.034];[0.882, 0.031];[0.887, 0.035];[0.844, 0.048];[0.92, 0.027];[0.307, 0.069];[0.315, 0.055];[0.256, 0.073];[0.919, 0.014];[0.872, 0.024];[0.948, 0.043];[0.993, 0.005];[0.988, 0.01];[1.0, 0.0];[15.68, 0.705]
[0, 1, 2, 3, 4];no_reasoner;countries_s1;backward_3;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-no_reasoner-None-1-100;4;[0.001, 0.002];[0.001, 0.002];[0.001, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.421, 0.049];[0.421, 0.049];[0.421, 0.049];[0.903, 0.009];[0.88, 0.011];[0.918, 0.007];[0.903, 0.009];[0.88, 0.011];[0.918, 0.007];[0.46, 0.132];[0.46, 0.132];[0.46, 0.132];[0.923, 0.016];[0.884, 0.02];[0.936, 0.039];[0.923, 0.016];[0.884, 0.02];[0.936, 0.039];[11.475, 0.12]
[0, 1, 2, 3, 4];sbr;countries_s1;backward_3;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-sbr-None-1-100;4;[0.121, 0.235];[0.12, 0.236];[0.122, 0.233];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.001];[1.0, 0.0];[0.404, 0.043];[0.387, 0.037];[0.421, 0.05];[0.872, 0.034];[0.846, 0.039];[0.884, 0.035];[0.888, 0.027];[0.842, 0.03];[0.918, 0.035];[0.359, 0.071];[0.424, 0.104];[0.294, 0.061];[0.917, 0.028];[0.876, 0.05];[0.94, 0.036];[0.974, 0.019];[0.956, 0.032];[0.996, 0.008];[12.552, 0.86]
[0, 1, 2, 3, 4];r2n;countries_s1;backward_3;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-r2n-None-1-100;4;[0.342, 0.154];[0.37, 0.162];[0.315, 0.147];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.396, 0.035];[0.292, 0.027];[0.501, 0.095];[0.815, 0.022];[0.782, 0.025];[0.82, 0.023];[0.867, 0.017];[0.822, 0.027];[0.9, 0.014];[0.306, 0.019];[0.352, 0.018];[0.261, 0.024];[0.897, 0.022];[0.836, 0.043];[0.944, 0.037];[0.959, 0.024];[0.944, 0.029];[0.952, 0.037];[13.017, 0.055]
[0, 1, 2, 3, 4];rnm;countries_s1;backward_3;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s1-backward_3-complex-rnm-None-1-100;4;[0.002, 0.002];[0.001, 0.002];[0.003, 0.002];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.41, 0.042];[0.411, 0.043];[0.41, 0.041];[0.903, 0.01];[0.882, 0.012];[0.916, 0.01];[0.904, 0.01];[0.882, 0.012];[0.916, 0.01];[0.373, 0.086];[0.43, 0.121];[0.316, 0.056];[0.923, 0.014];[0.884, 0.023];[0.94, 0.042];[0.932, 0.01];[0.888, 0.016];[0.976, 0.023];[12.713, 0.949]
[0, 1, 2, 3, 4];dcr;countries_s2;backward_1;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-dcr-None-1-100;4;[0.045, 0.051];[0.04, 0.045];[0.039, 0.045];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.376, 0.063];[0.37, 0.067];[0.37, 0.067];[0.809, 0.014];[0.788, 0.017];[0.806, 0.01];[0.814, 0.01];[0.796, 0.01];[0.808, 0.01];[0.363, 0.06];[0.359, 0.065];[0.357, 0.066];[0.912, 0.018];[0.864, 0.02];[0.952, 0.035];[0.912, 0.018];[0.864, 0.02];[0.952, 0.035];[25.024, 0.128]
[0, 1, 2, 3, 4];no_reasoner;countries_s2;backward_1;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;0;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-no_reasoner-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[11.482, 0.156]
[0, 1, 2, 3, 4];sbr;countries_s2;backward_1;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-sbr-None-1-100;4;[0.119, 0.233];[0.12, 0.234];[0.119, 0.233];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.392, 0.045];[0.392, 0.045];[0.392, 0.045];[0.805, 0.017];[0.784, 0.021];[0.804, 0.016];[0.815, 0.012];[0.796, 0.014];[0.814, 0.014];[0.414, 0.038];[0.414, 0.038];[0.413, 0.039];[0.911, 0.014];[0.86, 0.013];[0.948, 0.037];[0.913, 0.014];[0.864, 0.008];[0.948, 0.037];[20.097, 1.175]
[0, 1, 2, 3, 4];r2n;countries_s2;backward_1;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-r2n-None-1-100;4;[0.037, 0.074];[0.045, 0.09];[0.029, 0.059];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.328, 0.038];[0.328, 0.038];[0.328, 0.039];[0.785, 0.03];[0.754, 0.043];[0.792, 0.022];[0.806, 0.005];[0.786, 0.005];[0.804, 0.005];[0.409, 0.097];[0.412, 0.092];[0.405, 0.101];[0.901, 0.012];[0.848, 0.027];[0.936, 0.046];[0.907, 0.011];[0.86, 0.013];[0.936, 0.046];[20.461, 0.108]
[0, 1, 2, 3, 4];rnm;countries_s2;backward_1;complex;None;100;-1;-1;64;facts.txt;train.txt;valid.txt;test.txt;domain2constants.txt;rules.txt;1;100;None;True;functional;0;0;200;0.0;0.0;0.01;100;1;binary_crossentropy;0.5;False;3;3;True;1;0.0;100;0.0;100;True;0.0;max;3;0.0;['dataset_name', 'grounder', 'kge', 'model_name', 'rule_miner', 'neg', 'e'];countries_s2-backward_1-complex-rnm-None-1-100;4;[0.14, 0.229];[0.14, 0.229];[0.14, 0.229];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.368, 0.056];[0.368, 0.056];[0.368, 0.056];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.808, 0.014];[0.784, 0.014];[0.812, 0.01];[0.368, 0.061];[0.368, 0.061];[0.368, 0.061];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[0.912, 0.02];[0.864, 0.02];[0.948, 0.041];[19.556, 0.111]
